lanzepisode_name,name,date,role,party,message,genre,pub_platform
Markus Lanz vom 9. Januar 2024,Anton Hofreiter,2024-01-09T00:00:00.000000,Politiker (B'90/Grüne),B90G,"Er äußert sich zu den Bauernprotesten, der Haushaltspolitik der Ampel-Regierung und zum Zustand von Gesellschaft und Demokratie in Deutschland.",Politik,
Markus Lanz vom 9. Januar 2024,Ursula Weidenfeld,2024-01-09T00:00:00.000000,Journalistin,,"Die Volkswirtin und freie Journalistin (u.a. ""Der Spiegel"") analysiert das Hin und Her um einen verfassungskonformen Bundeshaushalt für 2024.",Journalismus,Spiegel
Markus Lanz vom 9. Januar 2024,Henrik Wendorff,2024-01-09T00:00:00.000000,Biolandwirt,,Seit 2019 ist er Bauernpräsident in Brandenburg. Er nimmt Stellung zur Verhältnismäßigkeit der Bauernproteste und zu den politischen Forderungen der Landwirte.,Agrar,
Markus Lanz vom 9. Januar 2024,Sebastian Lakner,2024-01-09T00:00:00.000000,Agrarökonom,,"Der Professor der Universität Rostock erläutert, warum er die aktuellen Aktionen der Bauern für unverhältnismäßig hält. Zudem skizziert er seine Ansätze für eine zukunftsfähige Agrarpolitik.",Agrar,
Markus Lanz vom 17. Januar 2024,Sahra Wagenknecht,2024-01-17T00:00:00.000000,Politikerin (BSW),BSW,"Sie nimmt Stellung zur Programmatik, personellen Aufstellung und Zielsetzung ihrer neu gegründeten Partei ""Bündnis Sahra Wagenknecht"". Ferner äußert sie sich zur Debatte um ein AfD-Verbot.",Politik,
Markus Lanz vom 17. Januar 2024,Marcus Bensmann,2024-01-17T00:00:00.000000,Investigativjournalist,,"Der ""Correctiv""-Reporter berichtet von seinen neuesten Recherchen zu dem Geheimtreffen von hochrangigen AfD-Politikern, Neonazis und Unternehmern.",Journalismus,Correctiv
Markus Lanz vom 17. Januar 2024,Robin Alexander,2024-01-17T00:00:00.000000,Journalist,,"Der stellvertretende ""Welt""-Chefredakteur spricht über das Potenzial der neuen Wagenknecht-Partei. Zudem analysiert er die politischen Reaktionen auf die ""Correctiv""-Enthüllungen.",Journalismus,Welt
Markus Lanz vom 16. Januar 2024,Ricarda Lang,2024-01-16T00:00:00.000000,Politikerin (B'90/Grüne),B90G,"Die Co-Parteivorsitzende nimmt Stellung zum gesellschaftlichen Klima und dem Zustand der Demokratie in Deutschland, der Krise der Ampel-Koalition und zur Strategie ihrer Partei für 2024.",Politik,
Markus Lanz vom 16. Januar 2024,Michael Bröcker,2024-01-16T00:00:00.000000,Journalist,,"Der Chefredakteur von ""Table.Media"" analysiert die schwachen Umfragewerte der Grünen und das Potenzial der Partei bei der Europawahl und den diesjährigen Landtagswahlen im Osten.",Journalismus,Table.Media
Markus Lanz vom 16. Januar 2024,Elmar Theveßen,2024-01-16T00:00:00.000000,Journalist,,"Zugeschaltet aus den USA informiert der Leiter des ZDF-Studios Washington über Hintergründe zu den republikanischen Vorwahlen in Iowa, bei denen Donald Trump als klarer Sieger hervorging.",Journalismus,ZDF
Markus Lanz vom 16. Januar 2024,Adrian Geiges,2024-01-16T00:00:00.000000,Asien-Experte,,Der Bestsellerautor äußert sich zur Wahl des chinakritischen Kandidaten Lai Ching-te zum Präsidenten Taiwans und den Folgen für das Verhältnis zwischen Taipeh und Peking.,International,
Markus Lanz vom 11. Januar 2024,Jens Spahn,2024-01-11T00:00:00.000000,CDU-Politiker,CDU,"Der stellvertretende Unions-Fraktionschef nimmt Stellung zu den Bauernprotesten, der Oppositionsarbeit seiner Partei und dem Entwurf des neuen CDU-Grundsatzprogramms.",Politik,
Markus Lanz vom 11. Januar 2024,Martin Machowecz,2024-01-11T00:00:00.000000,Journalist,,"Der ""ZEIT""-Vize spricht über mögliche Szenarien bei den diesjährigen Wahlen in Thüringen, Brandenburg und Sachsen. Ferner äußert er sich zum Wandel des gesellschaftlichen Klimas.",Journalismus,Zeit
Markus Lanz vom 11. Januar 2024,Philippa Sigl-Glöckner,2024-01-11T00:00:00.000000,Ökonomin,,"Die Direktorin der Denkfabrik ""Dezernat Zukunft"" hinterfragt die wirtschaftspolitischen Ansätze der CDU. Zudem analysiert sie die deutsche Landwirtschaftspolitik.",Ökonomie,
Markus Lanz vom 11. Januar 2024,Matthias Quent,2024-01-11T00:00:00.000000,Soziologe,,"Der Professor der Hochschule Magdeburg-Stendal äußert sich zu Zustand und Stabilität der Demokratie, der sich ändernden Parteienlandschaft und der Debatte um ein AfD-Verbot.",Soziales,
Markus Lanz vom 10. Januar 2024,Ralf Stegner,2024-01-10T00:00:00.000000,SPD-Politiker,SPD,"Er äußert sich zum Bahnstreik, den Bauernprotesten sowie zu den Plänen seiner Partei, die Schuldenbremse zu reformieren.",Politik,
Markus Lanz vom 10. Januar 2024,Dorothea Siems,2024-01-10T00:00:00.000000,Journalistin,,Die Chefökonomin der WELT analysiert die Sparpläne der Bundesregierung und die Debatte um Sanktionsverschärfungen für Bürgergeldempfänger.,Journalismus,
Markus Lanz vom 10. Januar 2024,Christian Böttger,2024-01-10T00:00:00.000000,Bahnexperte,,Der Wirtschaftsprofessor spricht über den Zustand und die Zukunftsfähigkeit des Bahnsystems und hinterfragt die Konzernstruktur und Investitionsstrategie des Mobilitätsunternehmens.,Sonstiges,
Markus Lanz vom 10. Januar 2024,Christian Lohmeyer,2024-01-10T00:00:00.000000,Landwirt,,Der Niedersachse ist Mitorganisator der Bauernproteste. Er erläutert seine Kritik an der deutschen Agrarpolitik und berichtet aus seinem Alltag als landwirtschaftlicher Unternehmer.,Agrar,
Markus Lanz vom 18. Januar 2024,Stephan Weil,2024-01-18T00:00:00.000000,SPD-Politiker,SPD,"Der Ministerpräsident Niedersachsens nimmt Stellung zur Agrarpolitik, dem Umfragetief seiner Partei und zur Bedeutung der Demonstrationen gegen Rechtsextreme.",Politik,
Markus Lanz vom 18. Januar 2024,Kerstin Münstermann,2024-01-18T00:00:00.000000,Journalistin,,"Die Redakteurin der ""Rheinischen Post"" analysiert den politischen Umgang mit den Bauernprotesten. Zudem äußert sie sich zum Kommunikationsstil von Kanzler Scholz und Finanzminister Lindner.",Journalismus,Rheinische Post
Markus Lanz vom 18. Januar 2024,Herfried Münkler,2024-01-18T00:00:00.000000,Politologe,,"Der Bestsellerautor erklärt, warum die Demokratie in der westlichen Welt zunehmend in die Defensive gerät. Und er erläutert, warum er Europa zu einer atomaren Aufrüstung rät.",Wissenschaft,
Markus Lanz vom 22. März 2023,Konstantin Kuhle,2023-03-22T00:00:00.000000,Politiker,FDP,Der stellvertretende Vorsitzende der FDP-Bundestagsfraktion fordert einen schärferen Umgang mit China und kommentiert den Haushaltsstreit in der Ampelkoalition.,Politik,
Markus Lanz vom 22. März 2023,Eva Quadbeck,2023-03-22T00:00:00.000000,Journalistin,,"Die Chefredakteurin vom ""RedaktionsNetzwerk Deutschland"" bewertet die Reform des Bundestags-Wahlrechts und die Streitpunkte der Ampelkoalition.",Journalismus,RND
Markus Lanz vom 22. März 2023,Felix Lee,2023-03-22T00:00:00.000000,China-Experte,,"Der Wirtschaftsjournalist von ""Table.Media"" analysiert das Treffen von Xi Jinping und Wladimir Putin in Moskau sowie Chinas Einfluss in Deutschland.",International,
Markus Lanz vom 22. März 2023,Elmar Theveßen,2023-03-22T00:00:00.000000,Journalist,,Der Leiter des ZDF-Studios Washington spricht über den kritischen Blick der USA auf Xi Jinpings Treffen mit Wladimir Putin und die Zusammenarbeit zwischen China und Russland.,Journalismus,ZDF
Markus Lanz vom 16. November 2023,Ivar Buterfas-Frankenthal,2023-11-16T00:00:00.000000,Shoah-Zeitzeuge,,"Nur knapp überlebte er den Nationalsozialismus. Er erzählt seine Familiengeschichte. Über die Gegenwart sagt er: ""Es ist sehr unruhig auf Deutschlands Straßen – unruhiger als 1934"".",Geschichte,
Markus Lanz vom 16. November 2023,Hanna Veiler,2023-11-16T00:00:00.000000,Studentin,,"Die Präsidentin der Jüdischen Studierendenunion spricht über das Leben junger Juden in Deutschland und über das Begegnungsprojekt ""Meet a Jew"", bei dem sie seit 2018 mitwirkt.",Bildung,
Markus Lanz vom 16. November 2023,Mehmet Can,2023-11-16T00:00:00.000000,Lehrer,,"Der Pädagoge vom Campus Rütli in Berlin-Neukölln schildert, inwieweit der Krieg in Nahost für Konflikte unter Schülern sorgt und wie Antisemitismus im Unterricht diskutiert wird.",Bildung,
Markus Lanz vom 5. Oktober 2023,Norbert Röttgen,2023-10-05T00:00:00.000000,CDU-Politiker,CDU,"Er äußert sich zur Rolle Deutschlands im Russland-Ukraine-Konflikt, zur Frage um weitere Waffenlieferungen an Kiew und zu den migrationspolitischen Konzepten seiner Partei.",Politik,
Markus Lanz vom 5. Oktober 2023,Sabine Adler,2023-10-05T00:00:00.000000,Journalistin,,"Die Politik- und Osteuropa-Expertin (""Deutschlandradio"") analysiert das Ringen der EU um eine Asylreform. Zudem spricht sie über Zustand und Stabilität der Demokratie in der Ukraine.",Journalismus,Deutschlandradio
