index,episode_name,date,description,factcheck,length,name,role,message,talkshow,register_index,Rechtliches,Innenpolitik,Soziales,Außenpolitik,Energie,Migration,Sicherheit,Klima,Digitales,Bildung,Wirtschaft,Russland,Ukraine,Nahost,Gesundheit,party,group,media
0,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Susanne Gaschke,,,maischberger,maischberger am 20.11.2024+Susanne Gaschke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Bob Woodward,,,maischberger,maischberger am 20.11.2024+Bob Woodward,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Georg Restle,,,maischberger,maischberger am 20.11.2024+Georg Restle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Maria Furtwängler,,,maischberger,maischberger am 20.11.2024+Maria Furtwängler,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Armin Laschet,,,maischberger,maischberger am 20.11.2024+Armin Laschet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CDU,Politik,
5,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Walter Sittler,,,maischberger,maischberger am 20.11.2024+Walter Sittler,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Christina Clemm,,,maischberger,maischberger am 20.11.2024+Christina Clemm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7,maischberger am 30.04.2024,2024-04-30,"FDP provoziert Koalitionspartner: Wollen die Liberalen das Ampel-Aus? Im Gespräch die ehemalige Bundesjustizministerin (FDP). Russland meldet Militärerfolge: Kann die Ukraine standhalten? Im Gespräch die Forschungsgruppenleiterin der Stiftung Wissenschaft und Politik und der Ukraine-Korrespondent der ARD . Es kommentieren: Der Tagesschau-Sprecher , die stellvertretende Leiterin des Hauptstadtbüros des Redaktionsnetzwerks Deutschland und der Journalist und Podcaster .",,75,Constantin Schreiber,,,maischberger,maischberger am 30.04.2024+Constantin Schreiber,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
8,maischberger am 30.04.2024,2024-04-30,"FDP provoziert Koalitionspartner: Wollen die Liberalen das Ampel-Aus? Im Gespräch die ehemalige Bundesjustizministerin (FDP). Russland meldet Militärerfolge: Kann die Ukraine standhalten? Im Gespräch die Forschungsgruppenleiterin der Stiftung Wissenschaft und Politik und der Ukraine-Korrespondent der ARD . Es kommentieren: Der Tagesschau-Sprecher , die stellvertretende Leiterin des Hauptstadtbüros des Redaktionsnetzwerks Deutschland und der Journalist und Podcaster .",,75,Tilo Jung,,,maischberger,maischberger am 30.04.2024+Tilo Jung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
9,maischberger am 30.04.2024,2024-04-30,"FDP provoziert Koalitionspartner: Wollen die Liberalen das Ampel-Aus? Im Gespräch die ehemalige Bundesjustizministerin (FDP). Russland meldet Militärerfolge: Kann die Ukraine standhalten? Im Gespräch die Forschungsgruppenleiterin der Stiftung Wissenschaft und Politik und der Ukraine-Korrespondent der ARD . Es kommentieren: Der Tagesschau-Sprecher , die stellvertretende Leiterin des Hauptstadtbüros des Redaktionsnetzwerks Deutschland und der Journalist und Podcaster .",,75,Sabine Leutheusser Schnarrenberger,,,maischberger,maischberger am 30.04.2024+Sabine Leutheusser Schnarrenberger,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,FDP,Politik,
